temp,icon,precip,wind360,windSpeed,humidity,pressure,load
23,104,0.0,45,8,52,995,3.8450400829315186
24,104,0.0,90,6,50,995,3.4293599128723145
24,104,0.0,225,4,51,995,6.827544212341309
23,305,0.0,0,19,60,995,6.6768598556518555
23,302,0.0,0,10,59,995,7.310771942138672
23,305,0.0,0,1,57,996,6.687252044677734
23,104,0.0,135,8,59,995,3.938568115234375
22,104,0.0,135,9,69,995,5.559720039367676
21,104,0.0,135,13,76,996,4.156799793243408
21,104,0.0,135,3,80,996,4.156799793243408
21,104,0.0,0,7,76,996,8.110956192016602
20,104,0.0,0,10,76,997,5.0141401290893555
18,104,0.0,0,15,81,996,2.494080066680908
18,104,0.0,315,4,81,997,2.494080066680908
18,104,0.0,0,2,85,997,2.494080066680908
17,101,0.0,180,9,85,997,2.494080066680908
18,101,0.0,135,7,82,998,2.494080066680908
18,104,0.0,270,4,83,999,2.494080066680908
18,104,0.0,315,6,82,999,2.494080066680908
18,104,0.0,0,12,81,1000,2.8889760971069336
19,101,0.0,0,10,81,1001,4.868651866912842
19,502,0.0,315,12,76,1001,5.424623966217041
22,502,0.0,315,16,65,1001,6.26637601852417
23,100,0.0,0,11,59,1000,7.669295787811279
25,101,0.0,45,13,57,1000,1.9952640533447266
26,100,0.0,135,9,50,999,2.556432008743286
26,100,0.0,45,12,51,998,3.7307279109954834
27,100,0.0,135,7,48,997,4.317875862121582
27,100,0.0,135,24,50,997,4.759535789489746
26,100,0.0,135,17,52,995,4.442580223083496
26,100,0.0,180,14,55,994,3.1279919147491455
26,100,0.0,90,11,55,993,2.9357399940490723
26,100,0.0,90,18,55,994,3.974940061569214
26,100,0.0,45,10,56,995,3.7930800914764404
25,100,0.0,90,23,56,996,1.6575239896774292
20,101,0.0,45,29,68,996,1.6575239896774292
20,305,0.0,180,7,71,997,1.7822279930114746
19,305,0.1,315,10,87,996,1.7822279930114746
19,101,0.0,0,7,88,996,1.7822279930114746
19,101,0.0,315,18,88,996,1.7822279930114746
21,100,0.0,0,9,75,995,1.7822279930114746
19,100,0.0,0,9,85,994,1.7822279930114746
19,101,0.0,0,4,87,994,1.7822279930114746
19,100,0.0,0,8,82,995,2.4109439849853516
20,101,0.0,0,14,75,994,6.011772155761719
21,101,0.0,0,8,72,995,6.271572113037109
23,101,0.0,225,7,65,994,8.168111801147461
25,101,0.0,135,5,59,993,6.837935924530029
26,101,0.0,135,12,57,993,5.897459983825684
27,101,0.0,0,7,55,993,7.91350793838501
28,101,0.0,45,3,52,992,8.931923866271973
28,101,0.0,270,3,53,992,10.366020202636719
27,101,0.0,0,16,63,992,8.277228355407715
26,101,0.0,0,12,64,992,8.13693618774414
26,101,0.0,0,8,66,991,3.1124041080474854
25,101,0.0,0,7,66,992,3.1124041080474854
23,101,0.0,0,11,71,994,3.6060240268707275
23,101,0.0,45,9,74,994,3.6060240268707275
22,502,0.0,315,12,77,995,6.0845160484313965
21,101,0.0,315,10,84,996,4.541304111480713
21,101,0.0,0,5,83,997,1.6938960552215576
21,101,0.0,315,6,80,997,1.6938960552215576
20,101,0.0,90,1,84,997,1.6938960552215576
19,101,0.0,315,7,85,997,1.6938960552215576
19,101,0.0,225,3,84,997,1.6938960552215576
19,101,0.0,0,8,82,996,1.6938960552215576
20,100,0.0,0,32,60,997,1.6938960552215576
21,100,0.0,0,12,41,998,2.1719279289245605
22,101,0.0,45,22,36,999,4.255524158477783
23,101,0.0,0,30,29,999,4.437384128570557
