airtemp,humidity,insolation,windspeed,winddirection,power (W)
23.400000000000016,73.62333333333332,0.19999999999999982,1.28,268.55,0.0
23.400000000000016,75.39999999999992,18.14833333333333,1.078333333333333,245.31666666666666,4091.0
23.704999999999995,73.28333333333336,102.44333333333334,0.97,255.68333333333334,24900.583333333332
24.23666666666664,70.9033333333333,89.48166666666665,0.7783333333333332,217.73333333333332,25162.166666666668
25.108333333333313,67.65,115.67333333333335,0.8366666666666668,209.4,33502.75
25.924999999999976,65.42333333333337,190.4633333333334,0.9516666666666665,185.45,61083.416666666664
27.249999999999996,61.46333333333328,354.0200000000001,1.4783333333333333,176.65,111913.75
27.6983333333333,58.9433333333333,481.0233333333334,1.846666666666667,184.66666666666666,139097.83333333334
27.08000000000002,58.513333333333335,244.0466666666667,1.9116666666666673,165.63333333333333,74294.66666666667
20.79833333333332,80.69333333333337,10.378333333333336,2.735,171.66666666666666,3453.0
20.4,86.5,37.35166666666666,0.7866666666666667,176.53333333333333,10574.916666666666
20.850000000000005,87.0,17.50666666666666,1.2966666666666666,172.08333333333334,4484.25
20.900000000000002,87.5,1.6533333333333349,0.8633333333333337,210.83333333333334,99.66666666666667
20.900000000000002,87.5,0.19999999999999982,1.25,196.41666666666666,0.0
20.900000000000002,87.5,0.19999999999999982,1.3083333333333336,219.71666666666667,0.0
20.4,82.93833333333323,0.5833333333333334,1.0333333333333337,216.23333333333332,0.0
20.4,83.83833333333341,39.19333333333332,1.1416666666666668,210.36666666666667,9435.333333333334
20.4,84.06666666666676,96.86333333333333,1.0116666666666667,177.71666666666667,25561.416666666668
20.850000000000005,82.53333333333335,190.79000000000002,1.0649999999999995,172.95,53528.916666666664
21.986666666666665,77.51666666666661,296.9950000000002,1.0033333333333334,202.71666666666667,88837.25
23.993333333333347,72.45333333333332,451.07666666666665,1.0700000000000003,171.81666666666666,116874.25
21.743333333333357,72.63166666666666,186.76833333333343,0.9750000000000001,96.88333333333334,63321.416666666664
21.84166666666669,75.88833333333334,74.53333333333333,0.8849999999999998,169.11666666666667,26124.25
21.700000000000024,76.59500000000004,97.71500000000002,0.40166666666666695,228.03333333333333,33731.916666666664
22.494999999999973,74.99999999999997,204.68999999999994,0.2783333333333334,163.13333333333333,67913.66666666667
23.199999999999978,70.94833333333334,148.345,0.4366666666666665,216.46666666666667,47085.666666666664
22.994999999999973,71.4033333333333,135.51166666666663,1.225,225.16666666666666,40659.333333333336
20.538333333333338,80.10333333333338,7.6783333333333355,1.24,110.43333333333334,1238.6666666666667
19.299999999999976,86.56333333333336,0.39999999999999963,0.7533333333333333,116.63333333333334,0.0
19.299999999999976,86.85000000000004,0.39999999999999963,0.4349999999999999,125.73333333333333,0.0
18.86666666666665,87.60000000000004,0.7000000000000004,0.8483333333333332,204.98333333333332,0.0
18.79999999999998,87.60000000000004,34.05500000000001,1.0133333333333334,172.11666666666667,9681.25
19.451666666666647,87.60000000000004,106.58833333333332,0.7033333333333334,168.38333333333333,39455.0
21.323333333333334,87.60000000000004,247.86833333333337,0.7116666666666659,135.46666666666667,91162.58333333333
23.055,72.625,412.425,0.39999999999999963,155.91666666666666,136020.66666666666
25.20833333333335,57.586666666666616,493.50000000000006,0.39999999999999963,123.25,139325.75
24.93333333333335,56.455000000000055,209.34999999999997,0.39999999999999963,99.21666666666667,77158.0
24.98833333333334,58.779999999999944,377.88000000000017,0.5866666666666666,75.96666666666667,142068.25
26.38333333333335,54.11333333333332,751.8833333333333,1.1300000000000001,156.9,192071.33333333334
26.751666666666686,49.993333333333304,662.9433333333332,1.311666666666666,217.86666666666667,177065.75
26.645000000000017,48.64833333333331,406.6700000000002,1.3566666666666665,191.86666666666667,105020.58333333333
24.99833333333334,54.4383333333333,117.86999999999999,1.316666666666667,165.83333333333334,24920.416666666668
24.070000000000007,60.245,54.371666666666655,1.1433333333333333,154.61666666666667,7448.75
22.733333333333334,65.75166666666665,0.24999999999999967,1.2433333333333336,84.2,0.0
22.083333333333332,68.4,0.09999999999999991,1.0933333333333335,77.63333333333334,0.0
18.89999999999999,81.86000000000004,0.4216666666666666,0.798333333333334,192.25,22.083333333333332
18.89999999999999,82.23333333333335,26.78833333333334,0.798333333333333,192.35,13295.25
19.591666666666647,78.82999999999998,148.5033333333333,0.40333333333333343,194.31666666666666,69064.16666666667
21.600000000000005,74.20166666666664,386.33333333333337,1.5950000000000002,186.53333333333333,111307.75
23.735000000000014,66.65666666666662,529.7583333333333,1.0216666666666667,182.21666666666667,174881.25
25.814999999999976,57.44166666666669,641.2133333333334,0.5966666666666669,179.45,196693.0
26.59166666666669,52.25,661.0583333333332,1.2750000000000001,245.36666666666667,198065.16666666666
27.67833333333334,48.254999999999974,635.703333333333,1.055,259.2,200460.5
28.521666666666672,45.48833333333333,622.8833333333333,0.9749999999999999,255.3,131076.83333333334
28.86499999999997,48.20500000000005,551.6650000000001,1.2566666666666668,144.46666666666667,145016.91666666666
28.083333333333318,51.973333333333386,411.00833333333355,1.721666666666667,180.06666666666666,119126.33333333333
27.183333333333362,53.57666666666668,244.02333333333337,1.683333333333333,202.98333333333332,46555.333333333336
25.679999999999968,58.49166666666664,55.02666666666667,2.01,214.0,6748.25
24.374999999999975,65.07833333333339,0.7000000000000004,2.0899999999999994,220.36666666666667,0.0
23.99166666666664,67.78333333333333,0.7000000000000004,2.6833333333333327,256.95,0.0
21.799999999999976,73.18333333333331,0.7833333333333337,0.3899999999999999,268.78333333333336,0.0
21.841666666666644,71.61666666666662,30.743333333333332,0.38833333333333325,295.65,9510.833333333334
